Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No,District,Municipality,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
2523,D869 over Brak river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),"S2,S3",3,750,No,2250,3,4,9,400,1
2523,D869 over Brak river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,11. Parapet, 454. New endblocks,S3,2,15350,No,30700,3,4,4,13,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,11. Parapet, 454. New endblocks,S1,1,15350,No,15350,4,4,16,104,1
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,55,1220,m,67100,2,2,4,6,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,100,750,L,75000,2,2,1,1,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,"S1,S2",10,3100,m,31000,4,4,16,52,2
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,60,950,m,57000,3,4,4,7,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10,340,No,3400,1,1,1,29,3
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12,3100,No,37200,2,2,1,3,3
2526,D1888  over railway,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,300,750,L,225000,3,4,9,4,3
2526,D1888  over railway,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P2,50,750,L,37500,3,4,0,0,3
2526,D1888  over railway,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,14. Piers & Columns, 654. Access-using scaffold (< 10 m),P2,1,4640,No,4640,3,4,0,0,3
2526,D1888  over railway,Bridge,Bridge,8/3/2021,,Sekhukhune,,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",BA,80,630,m,50400,3,4,0,0,3
2527,D21 over river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,160,80,m2,12800,1,1,4,31,3
2527,D21 over river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,8,750,No,6000,1,1,1,17,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,200,750,L,150000,3,3,4,3,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,120,750,L,90000,3,3,4,4,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,11. Parapet, 458. New/repair steel railing,"S1,S4,S5",16,3100,m,49600,4,4,16,32,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,14. Piers & Columns, 207. Clear debris,P4,1,750,m3,750,3,3,4,533,1
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,2,630,m3,1260,3,3,1,79,1
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),A2,50,750,L,37500,4,4,9,24,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BA,AP",70,6180,m,432600,3,3,9,2,3
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,6/30/2022,08. Surfacing, 502. Resurface or patch,BA,20,750,m2,15000,4,4,1,7,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,16,3100,No,49600,2,2,4,8,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 120. Seal cracks,"S1,S2",8,750,m,6000,3,4,4,67,1
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,BA,22,1220,m,26840,2,2,1,4,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,4,13,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,10,750,L,7500,2,2,1,13,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,08. Surfacing, 502. Resurface or patch,BA,66,750,m2,49500,2,2,4,8,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,07. Wing/ Retaining Walls, 953. Ad-hoc item (describe under Remarks),BA,4,1080,No,4320,3,4,4,93,1
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,06. Abutments, 104. Concrete (reinforced),A2,1,12270,m3,12270,2,2,1,8,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),A1,3,630,No,1890,1,1,4,212,1
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,40,950,m,38000,1,1,4,11,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,33,1220,m,40260,2,2,1,2,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,S2,5,3100,m,15500,4,4,4,26,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,BA,24,1220,m,29280,3,4,4,14,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S1,5,750,m,3750,4,4,16,427,1
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,4,13,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,48,1220,m,58560,3,4,4,7,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,08. Surfacing, 502. Resurface or patch,BA,30,750,m2,22500,4,4,9,40,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,13. Pier Foundations, 161. Underpinning (describe under Remarks),P1,1,76650,No,76650,4,4,16,21,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,11. Parapet, 454. New endblocks,S1,1,15350,No,15350,3,4,4,26,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,16,3100,No,49600,3,4,1,2,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,07. Wing/ Retaining Walls, 157. Mass concrete backfill,A2,2,5500,m3,11000,3,4,16,145,1
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,07. Wing/ Retaining Walls, 104. Concrete (reinforced),A1,8,12270,m3,98160,4,4,16,16,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,06. Abutments, 104. Concrete (reinforced),A1,1,12270,m3,12270,3,4,1,8,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,60,80,m2,4800,1,1,4,83,1
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,03. Waterway, 953. Ad-hoc item (describe under Remarks),AS,2,1080,No,2160,3,4,16,741,1
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,03. Waterway, 156. Gabion (mattresses and boxes),AS,50,3100,m3,155000,3,4,16,10,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",A2,20,630,m,12600,3,4,4,32,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,68,950,m,64600,4,4,4,6,3
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,6,750,m,4500,3,4,16,356,1
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,6/30/2022,07. Wing/ Retaining Walls, 953. Ad-hoc item (describe under Remarks),BA,3,1080,No,3240,3,4,16,494,1
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,200,80,m2,16000,1,1,4,25,3
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,17. Expansion Joints, 307. New multi element joint,"BA,AP",60,45990,m,2759400,1,1,4,0,3
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,11. Parapet, 458. New/repair steel railing,S3,4,3100,m,12400,1,1,1,8,3
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,72,950,m,68400,4,4,9,13,3
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,42,750,No,31500,3,4,4,13,3
2569,D86 over Rail,Bridge,Bridge,8/4/2021,,Mopani,,6/30/2022,08. Surfacing, 502. Resurface or patch,A1,2,750,m2,1500,1,1,1,67,1
2569,D86 over Rail,Bridge,Bridge,8/4/2021,,Mopani,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,5,750,L,3750,1,1,1,27,3
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10,340,No,3400,3,4,4,118,1
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,20. Decks and Slabs, 654. Access-using scaffold (< 10 m),S3,1,4640,No,4640,3,4,1,22,3
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S3,9,750,m,6750,3,4,1,15,3
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AP,1,229910,LS,229910,3,4,9,4,3
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,2,630,m3,1260,3,4,4,317,1
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,06. Abutments, 120. Seal cracks,A1,5,750,m,3750,3,4,4,107,1
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,11. Parapet, 458. New/repair steel railing,S1,5,3100,m,15500,3,4,4,26,3
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,25,1220,m,30500,3,4,9,30,3
2726,P142/1 over river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,400,80,m2,32000,3,4,1,3,3
2726,P142/1 over river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,40,950,m,38000,4,4,9,24,3
2726,P142/1 over river,Bridge,Bridge,9/4/2021,,Mopani,,6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,BA,24,1570,m,37680,3,4,1,3,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,6,340,No,2040,1,1,1,49,2
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),AS,90,750,L,67500,2,2,4,6,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,BA,12,1220,m,14640,2,2,1,7,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,12,1220,m,14640,2,2,1,7,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,BA,12,340,m,4080,2,2,1,25,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,AP,12,340,m,4080,2,2,1,25,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,20,750,L,15000,3,4,1,7,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12,3100,No,37200,3,4,1,3,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,08. Surfacing, 953. Ad-hoc item (describe under Remarks),AS,10,1080,No,10800,1,1,1,9,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BA,10,9190,m3,91900,2,2,1,1,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,6/30/2022,11. Parapet, 458. New/repair steel railing,S2,9,3100,m,27900,4,4,16,57,2
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,20,750,L,15000,4,4,1,7,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,1,1,1,8,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 953. Ad-hoc item (describe under Remarks),BA,20,1080,No,21600,3,4,4,19,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,1,1,1,3,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,25,750,L,18750,3,4,1,5,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),AS,25,750,L,18750,3,4,4,21,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,19,1220,m,23180,3,4,4,17,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,20,750,L,15000,4,4,1,7,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,20,750,L,15000,2,2,1,7,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12,3100,No,37200,3,4,4,11,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,12,340,No,4080,1,1,4,98,1
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,08. Surfacing, 502. Resurface or patch,BA,5,750,m2,3750,3,4,1,27,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,50,750,m2,0,0,0,1,9999999,1
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,02. Guardrail, 468. Replace reflectors,BA,32,150,No,4800,1,1,1,21,3
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,BA,19,1220,m,23180,3,4,4,17,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BA,AP",45,1220,m,54900,3,4,4,7,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BA,AP",45,340,m,15300,3,4,4,26,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),BA,1,137950,LS,137950,3,4,4,3,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,200,750,L,150000,3,4,4,3,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,07. Wing/ Retaining Walls, 156. Gabion (mattresses and boxes),A2,30,3100,m3,93000,3,4,0,0,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,A1,31,950,m2,29450,3,4,0,0,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,01. Approach Embankment, 155. Earth backfill,A1,20,630,m3,12600,3,4,9,71,1
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,500,750,L,375000,3,4,4,1,3
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BA,4,7640,No,30560,4,4,0,0,3
2744,D2534 over canal,Bridge,Bridge,8/19/2021,,Capricorn,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,100,950,m,95000,1,1,0,0,3
2744,D2534 over canal,Bridge,Bridge,8/19/2021,,Capricorn,,6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),S1,5,1080,No,5400,2,2,9,167,1
2744,D2534 over canal,Bridge,Bridge,8/19/2021,,Capricorn,,6/30/2022,21. Miscellaneous Items, 617. Replace road signs,BA,1,2480,m2,2480,1,1,1,40,3
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),"P3,P7",1,137950,LS,0,0,0,4,9999999,1
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BA,80,950,m,76000,4,4,9,12,3
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,11. Parapet, 457. New traffic barrier (Concrete F-Shape/NJ),AS,110,11540,m,1269400,4,4,9,1,3
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"P3,P7",25,1220,m,30500,3,4,4,13,3
2746,P207/1 over canal,Bridge,Bridge Cellular,7/27/2021,,Sekhukhune,,6/30/2022,08. Guardrails, 455. New guardrail (single and double),BE,80,950,m,76000,3,4,0,0,3
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,06. Abutments, 120. Seal cracks,BA,8,750,m,6000,3,4,4,67,1
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,2,630,m3,1260,3,4,4,317,1
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,50,750,L,37500,3,4,1,3,3
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,54,1220,m,65880,3,4,4,6,3
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AP,1,229910,LS,229910,3,4,4,2,3
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,11. Parapet, 458. New/repair steel railing,"S1,S3",10,3100,m,31000,3,4,1,3,3
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,16,340,No,5440,3,4,4,74,1
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,03. Waterway, 207. Clear debris,AS,20,750,m3,15000,3,4,9,60,2
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,03. Waterway, 209. Clear siltation,AS,200,630,m3,126000,3,4,9,7,3
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,3,630,m3,1890,3,4,4,212,1
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),AP,1,137950,LS,0,0,0,9,9999999,1
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,42,1220,m,51240,3,4,9,18,3
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,20,340,No,6800,3,4,4,59,2
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,4,32,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,100,750,L,75000,3,4,1,1,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,50,750,L,37500,3,4,0,0,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BA,AP",48,340,m,16320,3,4,4,25,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,"BA,AP",48,1570,m,75360,3,4,4,5,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S3,100,750,L,75000,3,4,1,1,3
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,315,750,m2,236250,3,4,4,2,3
2817,P43/3 over river,Bridge,Bridge,2/1/2022,,Mopani,,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,10,750,L,7500,3,3,1,13,3
2817,P43/3 over river,Bridge,Bridge,2/1/2022,,Mopani,,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,100,750,L,75000,3,3,4,5,3
2852,P98/2 over river,Bridge,Bridge,8/14/2021,,Vhembe,,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4,340,No,1360,3,4,4,294,1
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,05. Abutment Foundations, 953. Ad-hoc item (describe under Remarks),A1,1,1080,No,0,0,0,4,9999999,1
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,01. Approach Embankment, 402. Clear bush,BA,200,80,m2,16000,1,1,4,25,3
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BA,4,3100,No,12400,3,4,9,73,1
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,02. Guardrail, 455. New guardrail (single and double),A1,50,950,m,47500,3,4,9,19,3
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),BA,15,3100,m3,46500,3,4,4,9,3
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,08. Surfacing, 209. Clear siltation,AS,2,630,m3,1260,1,1,1,79,1
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,6/30/2022,09. Superstructure Drainage, 365. Seal leaking pipes,AS,70,3100,No,217000,1,1,4,2,3
